"Title","Category","Total_Ammount","Description","Merchant","Warrenty_Date","Expense_Img"
"3/1/2025","Food",3000,"Hello World","Arun","1/1/1970","https://res.cloudinary.com/dkwwcxevq/image/upload/v1736437171/expenses/kbc87d3vxw9wq71ag1lo.jpg"
"1/1/2025","food",750,"Double Crust Margherita Pizza (8"")
Double Crust Paneer Pizza (8"")
Cheese Garlic Bread","Amul Cafe (Bhat)","10/1/2025","https://res.cloudinary.com/dkwwcxevq/image/upload/v1736437302/expenses/kkzfqmwampwndr23dkje.jpg"
"1/1/2025","Home Appliances",3683,"CAVINS MANGO -200ml
STAYFREE SECURE-nos
EVEREST SAMBAR -50g
SUHANA PAVBHAJI-50g
MAHALAXMI SUR T-50g
MAHALAXMI SURSH-50g
MAHALAXMI SUR P-50g
MAHALAXMI SURES-50g
AMUL CHEESE CH-200g
ACT II CHILLI SU-30g
ACT II MAGIC BU-30g
4700 BC INST SE-30g
MAGGI MASALA MA-72g
HALDIRAM ALU B-150g
TOO YUMM DAHIPA-72g
STAR POTATO MAS-75g
REAL MASALA MIX-1lt
AABAD BADAM F-180ml
EPIGAMIA VANL-180ml
EPIGAMIA STRA-180ml
HAIR BRUSH S-2111lt
BOOST CHOCOBLAS-75g
KELLOGGS CHO V-158g
DUKES BOURBON -150g
BRITANNIA TIGR K-4g
JYOTI ICE CREA-125g
MTR BADAM DRINK-10g
JYOTI FALOODA -200g
BISLERI CLUB -750ml
LOREAL TOTAL -640ml
GILLETTE FOAM F-418g
GODREJ CINTHOL C-5g
JO LIME SOAP 3-450g
LIFEBUOY TOTA-750ml
SURF EXCEL EA-1.5kg
GHARI DETERGENT-3kg
GOOD KNIGHT LOW-nos
HIT MOR POW K-200ml
KRAZY LINES PLU-nos
STAR FIZZING-1500ml
MAGGI MASALA N-560g
AABAD MANGO F-180ml
CADBURY BOURNVI-75g","D-Mart","1/1/1970","https://res.cloudinary.com/dkwwcxevq/image/upload/v1736438674/expenses/jocudfpdhftkfc1jorpw.jpg"
